country,country_code,date,download_kbps,upload_kbps,total_tests,distance_miles
"India","IN","2009-08-20",1309.04,635.111,15820,252.58
"India","IN","2009-08-21",1278.39,614.132,32245,247.658
"India","IN","2009-08-22",1233.04,576.292,47553,245.479
"India","IN","2009-08-23",1243.29,568.467,59634,242.449
"India","IN","2009-08-24",1248.29,581.53,76259,242.109
"India","IN","2009-08-25",1241.98,583.103,93072,242.149
"India","IN","2009-08-26",1247.08,586.315,110524,241.93
"India","IN","2009-08-27",1246.09,585.374,128586,242.097
"India","IN","2009-08-28",1243.27,584.053,146259,242.051
"India","IN","2009-08-29",1229.86,576.834,163401,241.79
"India","IN","2009-08-30",1224.95,574.981,177450,241.114
"India","IN","2009-08-31",1227.76,577.755,195844,240.586
"India","IN","2009-09-01",1233.62,579.331,214430,240.046
"India","IN","2009-09-02",1234.17,582.624,231034,239.533
"India","IN","2009-09-03",1230.54,582.241,247769,239.115
"India","IN","2009-09-04",1231.9,583.147,265139,238.766
"India","IN","2009-09-05",1225.12,578.642,281643,238.362
"India","IN","2009-09-06",1220.23,575.332,294768,239.024
"India","IN","2009-09-07",1219.57,578.024,311749,239.729
"India","IN","2009-09-08",1220.73,582.044,329106,239.432
"India","IN","2009-09-09",1225.8,588.034,347324,239.096
"India","IN","2009-09-10",1225.2,590.737,365528,238.998
"India","IN","2009-09-11",1224.95,591.355,383245,238.793
"India","IN","2009-09-12",1219.73,588.692,400081,238.492
"India","IN","2009-09-13",1218.3,589.095,413798,238.194
"India","IN","2009-09-14",1219.37,593.77,430929,238.029
"India","IN","2009-09-15",1221.13,597.913,449080,237.802
"India","IN","2009-09-16",1222.43,600.288,466917,237.604
"India","IN","2009-09-17",1222.6,601.116,484650,237.638
"India","IN","2009-09-18",1222,602.029,502033,237.603
"India","IN","2009-09-19",1214.89,598.177,502869,237.153
"India","IN","2009-09-20",1209.43,595.863,499724,236.995
"India","IN","2009-09-21",1212.05,598.352,500314,236.855
"India","IN","2009-09-22",1211.94,601.852,505501,237.118
